 2.603833754934e-01	1
 2.605509452127e-01	2
 2.680036613148e-01	3
 2.640368258174e-01	4
 2.585592477722e-01	5
 2.577363179388e-01	6
 2.608807129463e-01	7
 2.617208890748e-01	8
 2.649851242334e-01	9
 2.695825056928e-01	10
 2.702928866640e-01	11
 2.618523558868e-01	12
 2.590000960991e-01	13
 2.606747599858e-01	14
 2.574838164904e-01	15
 2.609183722560e-01	16
 2.665684878869e-01	17
 2.624848759165e-01	18
 2.636664573652e-01	19
 2.572774563590e-01	20
 2.583196620994e-01	21
 2.650720450550e-01	22
 2.591462608234e-01	23
 2.581231705886e-01	24
 2.585319416560e-01	25
 2.550415516545e-01	26
 2.598890974302e-01	27
 2.547775485896e-01	28
 2.640429334424e-01	29
 2.641529170106e-01	30
 2.591659265347e-01	31
 2.582489180327e-01	32
 2.567609814174e-01	33
 2.545247404243e-01	34
 2.504386004621e-01	35
 2.423901162598e-01	36
 2.504303153277e-01	37
 2.466106393131e-01	38
 2.534521218370e-01	39
 2.513605989257e-01	40
 2.474709820221e-01	41
 2.496155131651e-01	42
 2.576731016146e-01	43
 2.614862414492e-01	44
 2.594018303612e-01	45
 2.599281622475e-01	46
 2.556785877925e-01	47
 2.554186038947e-01	48
 2.632640342756e-01	49
 2.596552406346e-01	50
 2.652716868983e-01	51
 2.602924882059e-01	52
 2.661225217753e-01	53
 2.666899884338e-01	54
 2.630357501866e-01	55
 2.537540876731e-01	56
 2.586011707011e-01	57
 2.669583996143e-01	58
 2.647281397181e-01	59
 2.613385345041e-01	60
 2.641219580998e-01	61
 2.606642822761e-01	62
 2.673341555801e-01	63
 2.557999723198e-01	64
 2.624182319051e-01	65
 2.651955363643e-01	66
 2.686556629953e-01	67
 2.606854208596e-01	68
 2.642470825722e-01	69
 2.665399954589e-01	70
 2.640419785789e-01	71
 2.623274613572e-01	72
 2.607931249290e-01	73
 2.605899356647e-01	74
 2.503984968465e-01	75
 2.584129740568e-01	76
 2.554207650949e-01	77
 2.544723351161e-01	78
 2.606874253621e-01	79
 2.686652053252e-01	80
 2.634718912796e-01	81
 2.624088880277e-01	82
 2.619449099824e-01	83
 2.655306656003e-01	84
 2.630452208500e-01	85
 2.620899308449e-01	86
 2.671273602807e-01	87
 2.679504419527e-01	88
 2.625411300333e-01	89
 2.607466849208e-01	90
 2.588719260310e-01	91
 2.595060276052e-01	92
 2.506851682705e-01	93
 2.560050370705e-01	94
 2.624337604916e-01	95
 2.651705099233e-01	96
 2.563055479956e-01	97
 2.659774790725e-01	98
 2.642258947152e-01	99
 2.632221414856e-01	100
 2.640630204151e-01	101
 2.633444485727e-01	102
 2.535465798867e-01	103
 2.542971003914e-01	104
 2.541970378947e-01	105
 2.504335609350e-01	106
 2.500746164555e-01	107
 2.497758635724e-01	108
 2.499393080794e-01	109
 2.484282722486e-01	110
 2.559571161408e-01	111
 2.589000906798e-01	112
 2.574390967592e-01	113
 2.587654201561e-01	114
 2.573804012542e-01	115
 2.538545041648e-01	116
 2.562528384850e-01	117
 2.613899678892e-01	118
 2.578005785662e-01	119
 2.596239046439e-01	120
 2.600043560413e-01	121
 2.603444562996e-01	122
 2.621933638198e-01	123
 2.545050915962e-01	124
 2.555874864386e-01	125
 2.527903561670e-01	126
 2.498343659987e-01	127
 2.526766299407e-01	128
 2.553479845714e-01	129
 2.556267922737e-01	130
 2.552124520528e-01	131
 2.561707072171e-01	132
 2.538605668341e-01	133
 2.564723550142e-01	134
 2.616156916001e-01	135
 2.620823802820e-01	136
 2.636251134488e-01	137
 2.679606022829e-01	138
 2.632586816910e-01	139
 2.582788180504e-01	140
 2.601348578566e-01	141
 2.639455590938e-01	142
 2.589248409098e-01	143
 2.548234739101e-01	144
 2.564475704521e-01	145
 2.534534455458e-01	146
 2.509100398207e-01	147
 2.598789408392e-01	148
 2.581776020053e-01	149
 2.539934506229e-01	150
 2.531886831734e-01	151
 2.519368553943e-01	152
 2.501827718579e-01	153
 2.492985363360e-01	154
 2.551594890575e-01	155
 2.529443318305e-01	156
 2.602921669967e-01	157
 2.515701546667e-01	158
 2.546747055382e-01	159
 2.531735922505e-01	160
 2.629205744327e-01	161
 2.635826544329e-01	162
 2.612094159189e-01	163
 2.644123612815e-01	164
 2.602572952905e-01	165
 2.609216004557e-01	166
 2.670549442705e-01	167
 2.667100882307e-01	168
 2.613114549996e-01	169
 2.589160437453e-01	170
 2.604133674498e-01	171
 2.552317156576e-01	172
 2.581389180008e-01	173
 2.639809562018e-01	174
 2.609141409159e-01	175
 2.639738034979e-01	176
 2.686746996487e-01	177
 2.705823347250e-01	178
 2.715429511942e-01	179
 2.643396883030e-01	180
 2.656647831526e-01	181
 2.673247953837e-01	182
 2.680861174077e-01	183
 2.667242473942e-01	184
 2.615609249164e-01	185
 2.652983484573e-01	186
 2.645263155292e-01	187
 2.686559153643e-01	188
 2.696560772437e-01	189
 2.738466415492e-01	190
 2.641022849276e-01	191
 2.615715877993e-01	192
 2.629233268153e-01	193
 2.652188742453e-01	194
 2.610099094596e-01	195
 2.661762018179e-01	196
 2.638284601207e-01	197
 2.687136895191e-01	198
 2.624109303436e-01	199
 2.647483468731e-01	200
 2.630316286683e-01	201
 2.622197981538e-01	202
 2.618686547913e-01	203
 2.600705101258e-01	204
 2.582037055884e-01	205
 2.553620506443e-01	206
 2.542589534705e-01	207
 2.584220568443e-01	208
 2.618461220308e-01	209
 2.666581159389e-01	210
 2.600131859043e-01	211
 2.587080860727e-01	212
 2.560641997245e-01	213
 2.579548894337e-01	214
 2.610007524247e-01	215
 2.598052873166e-01	216
 2.618423801884e-01	217
 2.649651163066e-01	218
 2.672908643453e-01	219
 2.714640265381e-01	220
 2.608278081280e-01	221
 2.579914603202e-01	222
