 1.080104000000e-01	-2.750332000000e-04	1
 1.058204000000e-01	-9.944457000000e-05	2
 1.052970000000e-01	-4.586845000000e-04	3
 1.062279000000e-01	 3.426082000000e-04	4
 1.061816000000e-01	-1.563489000000e-03	5
 1.060907000000e-01	 1.824707000000e-04	6
 1.063554000000e-01	-1.456172000000e-04	7
 1.070513000000e-01	 2.455372000000e-04	8
 1.035560000000e-01	-3.797260000000e-04	9
 1.041468000000e-01	 2.964838000000e-05	10
 1.071198000000e-01	 8.170328000000e-05	11
 1.064331000000e-01	-3.274310000000e-04	12
 1.028392000000e-01	-4.036944000000e-04	13
 1.057348000000e-01	-4.983942000000e-04	14
 1.096176000000e-01	-9.997758000000e-05	15
 1.071754000000e-01	 2.588122000000e-04	16
 1.071921000000e-01	 1.167362000000e-04	17
 1.060935000000e-01	-1.109031000000e-03	18
 1.085122000000e-01	-4.827933000000e-04	19
 1.078438000000e-01	-4.760770000000e-04	20
 1.049608000000e-01	 3.499862000000e-04	21
 1.026321000000e-01	-2.531355000000e-04	22
 1.072665000000e-01	-1.447008000000e-03	23
 1.076894000000e-01	 4.045046000000e-05	24
 1.047194000000e-01	 7.856259000000e-04	25
 1.082127000000e-01	 2.990192000000e-04	26
 1.107286000000e-01	 1.309917000000e-03	27
 1.089159000000e-01	-1.391915000000e-03	28
 1.115776000000e-01	 1.491731000000e-03	29
 1.106229000000e-01	 2.179670000000e-04	30
 1.088563000000e-01	 7.917378000000e-04	31
 1.120777000000e-01	 4.855542000000e-05	32
 1.064653000000e-01	-3.022569000000e-04	33
 1.045673000000e-01	-2.920060000000e-04	34
 1.087954000000e-01	 9.420218000000e-04	35
 1.095014000000e-01	-1.495201000000e-04	36
 1.082133000000e-01	 1.382744000000e-03	37
 1.069299000000e-01	-1.319781000000e-03	38
 1.099348000000e-01	 2.332044000000e-04	39
 1.083346000000e-01	-1.673054000000e-04	40
 1.073473000000e-01	-2.282184000000e-04	41
 1.077686000000e-01	-6.388190000000e-04	42
 1.055461000000e-01	-6.266707000000e-04	43
 1.058362000000e-01	 1.562675000000e-04	44
 1.055213000000e-01	-1.210738000000e-04	45
 1.088038000000e-01	 8.736227000000e-04	46
 1.098875000000e-01	 2.355495000000e-04	47
 1.118521000000e-01	 8.759768000000e-04	48
 1.042923000000e-01	-1.996192000000e-04	49
 1.052925000000e-01	 1.734580000000e-04	50
 1.033738000000e-01	 8.687632000000e-04	51
 1.036572000000e-01	-5.654612000000e-04	52
 1.009192000000e-01	-4.839890000000e-04	53
 1.007416000000e-01	-7.742154000000e-04	54
 1.035062000000e-01	 6.221212000000e-05	55
 1.033942000000e-01	-9.120651000000e-05	56
 1.024336000000e-01	-2.526666000000e-04	57
 1.007848000000e-01	-5.537075000000e-05	58
 1.030936000000e-01	 2.931781000000e-04	59
 1.034548000000e-01	 1.103862000000e-03	60
 1.027656000000e-01	-1.057261000000e-03	61
 1.056790000000e-01	 1.707083000000e-03	62
 1.055341000000e-01	 6.548895000000e-04	63
 1.077014000000e-01	 2.816762000000e-04	64
 1.043623000000e-01	 6.698319000000e-04	65
 1.051901000000e-01	-2.225015000000e-04	66
 1.055434000000e-01	-8.698679000000e-05	67
 1.067777000000e-01	 4.638515000000e-04	68
 1.067395000000e-01	-1.533010000000e-03	69
 1.055571000000e-01	 8.491524000000e-04	70
 1.056478000000e-01	 2.408726000000e-04	71
 1.052405000000e-01	-6.544186000000e-05	72
 1.052880000000e-01	 2.967106000000e-04	73
 1.051388000000e-01	-7.157191000000e-05	74
 1.059621000000e-01	-3.756306000000e-04	75
 1.066285000000e-01	 1.685795000000e-04	76
 1.099698000000e-01	 3.752500000000e-04	77
 1.059741000000e-01	-5.828001000000e-04	78
 1.061683000000e-01	-1.287205000000e-03	79
 1.078956000000e-01	-1.366995000000e-04	80
