9.325164767000e-02 -4.393699760000e-03 1
9.938459516000e-02 4.512963570000e-04 2
1.034482335000e-01 5.664202183000e-03 3
1.185521593000e-01 4.053904992000e-05 4
1.331461181000e-01 -1.491031718000e-03 5
1.274399298000e-01 4.076781050000e-03 6
1.103936710000e-01 -2.990786398000e-03 7
1.112573450000e-01 -8.195838272000e-03 8
1.011511663000e-01 -2.131807663000e-03 9
9.094049681000e-02 -2.181098501000e-03 10
1.038716765000e-01 3.057319319000e-03 11
8.683549469000e-02 5.583904205000e-03 12
1.001101942000e-01 1.448573526000e-03 13
9.424965190000e-02 -6.516911501000e-03 14
1.084853634000e-01 -2.137226571000e-03 15
1.045523446000e-01 1.246423956000e-03 16
1.066292949000e-01 -2.042868262000e-03 17
1.233877391000e-01 2.219241567000e-03 18
1.119733928000e-01 -1.592918741000e-03 19
9.298684564000e-02 7.120569758000e-03 20
9.507936727000e-02 -2.983433871000e-03 21
1.009160063000e-01 2.221068333000e-03 22
8.634576431000e-02 2.752354171000e-03 23
1.105281769000e-01 -5.869789942000e-03 24
1.096571112000e-01 -8.936714183000e-03 25
9.833917033000e-02 1.156204397000e-02 26
1.088831930000e-01 -7.583459673000e-03 27
1.276199341000e-01 6.100133570000e-03 28
1.012621939000e-01 -1.786283477000e-03 29
8.177481870000e-02 5.798414997000e-03 30
8.321792779000e-02 -2.738797507000e-03 31
6.902852851000e-02 1.076575385000e-03 32
7.532028778000e-02 -8.357130451000e-03 33
6.757323803000e-02 -4.196588131000e-03 34
8.004040397000e-02 2.364068996000e-03 35
8.511994302000e-02 -2.639639249000e-04 36
9.232665392000e-02 8.384732724000e-04 37
1.106407874000e-01 -2.348020923000e-03 38
1.079591658000e-01 1.716384687000e-04 39
1.063080517000e-01 4.613911517000e-03 40
9.139703354000e-02 7.740033547000e-03 41
9.163088396000e-02 -2.959309716000e-03 42
1.045059021000e-01 -1.219653856000e-02 43
1.029058715000e-01 -3.421375776000e-03 44
1.091242926000e-01 3.987659743000e-03 45
9.012616492000e-02 -7.631583053000e-03 46
8.056840410000e-02 1.048336442000e-02 47
1.047598070000e-01 -3.397894305000e-03 48
1.050385457000e-01 -9.072011944000e-05 49
9.682443907000e-02 6.320093998000e-03 50
9.289403817000e-02 3.755821119000e-03 51
8.523675302000e-02 7.568307545000e-03 52
6.651372914000e-02 4.475697219000e-03 53
6.663257046000e-02 -6.392493607000e-03 54
7.730590640000e-02 7.833762173000e-03 55
6.970315753000e-02 4.226008422000e-03 56
8.503833920000e-02 4.918186912000e-03 57
